
Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,,Inn,RoB,Out,Pit(cnt)Sequence,RBI,WPA,RE24,LI,Play Description
59001,6,2012-10-03,Alex Presley,PIT,ATL,Ben Sheets,down 1-0,Out,b1,---,1,4 (2-1),0,-0.02,-0.14,.64,Groundout: SS-1B (Weak SS)
59002,7,2012-10-03,Andrew McCutchen,PIT,ATL,Ben Sheets,down 1-0,SO,b1,---,2,3 (0-2),0,-0.01,-0.09,.41,Strikeout Swinging
59003,8,2012-10-03,Dan Uggla,ATL,@PIT,A.J. Burnett,ahead 0-1,SO,t2,---,0,4 (1-2),0,-0.02,-0.21,.81,Strikeout Looking
59004,9,2012-10-03,Brian McCann,ATL,@PIT,A.J. Burnett,ahead 0-1,1B,t2,---,1,1 (0-0),0,0.02,0.24,.56,Single to RF (Ground Ball thru 2B-1B)
59005,10,2012-10-03,Juan Francisco,ATL,@PIT,A.J. Burnett,ahead 0-1,Out,t2,1--,1,2 (0-1),0,-0.02,-0.18,1.08,Groundout: P-1B (Front of Home); McCann to 2B
59006,11,2012-10-03,Andrelton Simmons,ATL,@PIT,A.J. Burnett,ahead 0-1,FC,t2,-2-,2,9 (3-2),0,-0.03,-0.30,1.10,Fielder's Choice 3B unassisted; McCann out at 3B/3B
59007,12,2012-10-03,Garrett Jones,PIT,ATL,Luis Avilan,down 1-0,Out,b2,---,0,4 (1-2),0,-0.02,-0.21,1.00,Groundout: 1B unassisted
59008,13,2012-10-03,Pedro Alvarez,PIT,ATL,Luis Avilan,down 1-0,SO,b2,---,1,4 (1-2),0,-0.02,-0.14,.70,Strikeout Swinging (C-1B)
59009,14,2012-10-03,Josh Harrison,PIT,ATL,Luis Avilan,down 1-0,1B,b2,---,2,9 (3-2),0,0.01,0.12,.45,Single to 3B (Ground Ball to Weak 3B)
59010,15,2012-10-03,Clint Barmes,PIT,ATL,Luis Avilan,down 1-0,Out,b2,1--,2,6 (2-2),0,-0.02,-0.21,.91,Groundout: 3B-1B
59011,16,2012-10-03,Michael Bourn,ATL,@PIT,A.J. Burnett,ahead 0-1,Out,t3,---,1,4 (2-1),0,-0.01,-0.14,.60,Flyball: CF (Deep CF)
59012,17,2012-10-03,Martin Prado,ATL,@PIT,A.J. Burnett,ahead 0-1,Out,t3,---,2,3 (0-2),0,-0.01,-0.09,.40,Groundout: 2B-1B
59013,18,2012-10-03,Rod Barajas,PIT,ATL,Julio Teheran,down 1-0,Out,b3,---,0,1 (0-0),0,-0.03,-0.21,1.09,Flyball: CF
59014,19,2012-10-03,Starling Marte,PIT,ATL,Julio Teheran,down 1-0,Out,b3,---,2,5 (2-2),0,-0.01,-0.09,.48,Groundout: SS-1B (Weak SS)
59015,1,2012-10-03,Mike Trout,LAA,@SEA,Blake Beavan,tied 0-0,HBP,t1,---,0,4 (1-2),0,0.04,0.37,.87,*LEADOFF GM*:Hit By Pitch
59016,2,2012-10-03,Torii Hunter,LAA,@SEA,Blake Beavan,tied 0-0,Out,t1,---,1,2 (0-1),0,-0.01,-0.15,.61,Groundout: SS-1B (Weak 3B)
59017,3,2012-10-03,Albert Pujols,LAA,@SEA,Blake Beavan,tied 0-0,Out,t1,---,2,4 (1-2),0,-0.01,-0.09,.39,Groundout: 3B-1B (Weak 3B)
59018,4,2012-10-03,Dustin Ackley,SEA,LAA,Jered Weaver,tied 0-0,BB,b1,---,0,4 (3-0),0,0.04,0.37,.87,Walk
59019,5,2012-10-03,Casper Wells,SEA,LAA,Jered Weaver,tied 0-0,Out,b1,1--,0,3 (1-1),0,-0.03,-0.34,1.47,Lineout: 2B
59020,6,2012-10-03,Kyle Seager,SEA,LAA,Jered Weaver,tied 0-0,2B,b1,1--,1,2 (0-1),1,0.12,1.16,1.17,Double to LF (Ground Ball); Ackley Scores
59021,7,2012-10-03,John Jaso,SEA,LAA,Jered Weaver,ahead 0-1,BB,b1,-2-,1,5 (3-1),0,0.02,0.22,1.07,Walk
