
Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,,Inn,RoB,Out,Pit(cnt)Sequence,RBI,WPA,RE24,LI,Play Description
59022,8,2012-10-03,Justin Smoak,SEA,LAA,Jered Weaver,ahead 0-1,1B,b1,12-,1,4 (2-1),0,0.05,0.65,1.66,Single to LF (Line Drive to Short LF-CF); Seager to 3B; Jaso to 2B
59023,9,2012-10-03,Jesus Montero,SEA,LAA,Jered Weaver,ahead 0-1,Out,b1,123,1,4 (1-2),1,0.01,-0.05,2.19,Groundout: 1B-SS/Forceout at 2B (2B-1B); Seager Scores; Jaso to 3B
59024,10,2012-10-03,Michael Saunders,SEA,LAA,Jered Weaver,ahead 0-2,SO,b1,1-3,2,3 (0-2),0,-0.03,-0.47,1.22,Strikeout Swinging
59025,11,2012-10-03,Kendrys Morales,LAA,@SEA,Blake Beavan,down 2-0,1B,t2,---,0,2 (0-1),0,0.04,0.37,.91,Single to RF (Ground Ball)
59026,12,2012-10-03,Alberto Callaspo,LAA,@SEA,Blake Beavan,down 2-0,Out,t2,1--,0,2 (0-1),0,-0.04,-0.34,1.60,Flyball: LF (LF-CF)
59027,13,2012-10-03,Mark Trumbo,LAA,@SEA,Blake Beavan,down 2-0,Out,t2,1--,1,2 (0-1),0,-0.03,-0.27,1.21,Flyball: LF (Deep LF)
59028,14,2012-10-03,Howie Kendrick,LAA,@SEA,Blake Beavan,down 2-0,Out,t2,1--,2,1 (0-0),0,-0.02,-0.21,.80,Groundout: 2B unassisted/Forceout at 2B (SS-2B)
59029,15,2012-10-03,Trayvon Robinson,SEA,LAA,Jerome Williams,ahead 0-2,Out,b2,---,0,4 (1-2),0,-0.01,-0.22,.59,Groundout: P-1B (Short 1B Line)
59030,16,2012-10-03,Carlos Triunfel,SEA,LAA,Jerome Williams,ahead 0-2,SO,b2,---,1,5 (2-2),0,-0.01,-0.15,.43,Strikeout Swinging
59031,17,2012-10-03,Dustin Ackley,SEA,LAA,Jerome Williams,ahead 0-2,Out,b2,---,2,3 (2-0),0,-0.01,-0.09,.28,Groundout: 1B unassisted (2B-1B)
59032,18,2012-10-03,Maicer Izturis,LAA,@SEA,Blake Beavan,down 2-0,1B,t3,---,0,2 (0-1),0,0.04,0.37,.97,Single to CF (Line Drive)
59033,19,2012-10-03,Chris Iannetta,LAA,@SEA,Blake Beavan,down 2-0,Out,t3,1--,0,3 (1-1),0,-0.04,-0.34,1.70,Popfly: 2B (Weak SS-2B)
59034,20,2012-10-03,Mike Trout,LAA,@SEA,Blake Beavan,down 2-0,Out,t3,-2-,1,7 (3-2),0,-0.03,-0.30,1.37,Groundout: 1B unassisted; Izturis to 3B
59035,21,2012-10-03,Torii Hunter,LAA,@SEA,Blake Beavan,down 2-0,Out,t3,--3,2,1 (0-0),0,-0.04,-0.34,1.37,Flyball: RF (Short CF-RF)
59036,22,2012-10-03,Casper Wells,SEA,LAA,Jerome Williams,ahead 0-2,HBP,b3,---,0,3 (0-2),0,0.02,0.37,.58,Hit By Pitch
59037,23,2012-10-03,Kyle Seager,SEA,LAA,Jerome Williams,ahead 0-2,1B,b3,1--,0,4 (2-1),0,0.03,0.60,.95,Single to LF (Ground Ball thru Weak 3B); Wells to 2B
59038,24,2012-10-03,John Jaso,SEA,LAA,Jerome Williams,ahead 0-2,SO,b3,12-,0,6 (3-2),0,-0.03,-0.56,1.17,Strikeout Swinging
59039,25,2012-10-03,Justin Smoak,SEA,LAA,Jerome Williams,ahead 0-2,SO,b3,12-,1,7 (3-2),0,-0.03,-0.45,1.28,Strikeout Swinging
59040,26,2012-10-03,Jesus Montero,SEA,LAA,Jerome Williams,ahead 0-2,2B,b3,12-,2,3 (1-1),2,0.13,1.89,1.12,Double to RF (Line Drive to CF-RF); Wells Scores; Seager Scores
59041,27,2012-10-03,Michael Saunders,SEA,LAA,Jerome Williams,ahead 0-4,Out,b3,-2-,2,3 (1-1),0,-0.01,-0.30,.39,Groundout: SS-1B (Weak SS-2B)
59042,1,2012-10-03,Brandon Phillips,CIN,@STL,Shelby Miller,tied 0-0,Out,t1,---,0,3 (0-2),0,-0.02,-0.22,.87,*LEADOFF GM*:Groundout: SS-1B (Weak SS)
59043,2,2012-10-03,Zack Cozart,CIN,@STL,Shelby Miller,tied 0-0,SO,t1,---,1,4 (1-2),0,-0.01,-0.15,.61,Strikeout Looking
59044,3,2012-10-03,Joey Votto,CIN,@STL,Shelby Miller,tied 0-0,BB,t1,---,2,5 (3-1),0,0.01,0.12,.39,Walk
59045,4,2012-10-03,Ryan Ludwick,CIN,@STL,Shelby Miller,tied 0-0,Out,t1,1--,2,4 (1-2),0,-0.02,-0.22,.80,Flyball: RF (Deep CF-RF)
59046,5,2012-10-03,Adron Chambers,STL,CIN,Homer Bailey,tied 0-0,1B,b1,---,0,3 (1-1),0,0.04,0.37,.87,Single to SS (Ground Ball to SS-2B)
59047,6,2012-10-03,Shane Robinson,STL,CIN,Homer Bailey,tied 0-0,Out,b1,1--,0,1 (0-0),0,-0.03,-0.35,1.46,Foul Popfly: 1B (1B Foul)
59048,7,2012-10-03,Skip Schumaker,STL,CIN,Homer Bailey,tied 0-0,SO,b1,-2-,1,6 (3-2),0,-0.03,-0.34,1.23,Strikeout Looking
59049,8,2012-10-03,Matt Carpenter,STL,CIN,Homer Bailey,tied 0-0,Out,b1,-2-,2,3 (0-2),0,-0.03,-0.31,1.16,Flyball: LF (LF-CF)
59050,9,2012-10-03,Jay Bruce,CIN,@STL,Shelby Miller,tied 0-0,BB,t2,---,0,5 (3-1),0,0.04,0.37,.93,Walk
59051,10,2012-10-03,Scott Rolen,CIN,@STL,Shelby Miller,tied 0-0,Out,t2,1--,0,3 (1-1),0,-0.08,-0.74,1.57,Ground Ball Double Play: SS-1B (Weak SS-2B)
59052,11,2012-10-03,Ryan Hanigan,CIN,@STL,Shelby Miller,tied 0-0,Out,t2,---,2,2 (1-0),0,-0.01,-0.10,.41,Flyball: RF
59053,12,2012-10-03,Tony Cruz,STL,CIN,Homer Bailey,tied 0-0,Out,b2,---,0,2 (0-1),0,-0.02,-0.22,.92,Groundout: 3B-1B (Weak 3B)
59054,13,2012-10-03,Bryan Anderson,STL,CIN,Homer Bailey,tied 0-0,SO,b2,---,1,6 (3-2),0,-0.02,-0.15,.66,Strikeout Looking
59055,14,2012-10-03,Ryan Jackson,STL,CIN,Homer Bailey,tied 0-0,SO,b2,---,2,4 (1-2),0,-0.01,-0.10,.42,Strikeout Swinging
59056,15,2012-10-03,Drew Stubbs,CIN,@STL,Shelby Miller,tied 0-0,Out,t3,---,0,1 (0-0),0,-0.02,-0.22,.99,Popfly: 3B
59057,16,2012-10-03,Brandon Phillips,CIN,@STL,Shelby Miller,tied 0-0,Out,t3,---,2,6 (0-2),0,-0.01,-0.10,.45,Lineout: LF
59058,17,2012-10-03,Pete Kozma,STL,CIN,Homer Bailey,tied 0-0,Out,b3,---,0,7 (3-2),0,-0.02,-0.22,.99,Flyball: CF (Short CF)
59059,18,2012-10-03,Adron Chambers,STL,CIN,Homer Bailey,tied 0-0,SO,b3,-2-,1,6 (2-2),0,-0.04,-0.34,1.41,Strikeout Swinging
59060,19,2012-10-03,Shane Robinson,STL,CIN,Homer Bailey,tied 0-0,1B,b3,-2-,2,1 (0-0),0,0.02,0.17,1.34,Single to RF (Ground Ball thru 2B-1B); Miller to 3B
59061,20,2012-10-03,Skip Schumaker,STL,CIN,Homer Bailey,tied 0-0,Out,b3,1-3,2,2 (1-0),0,-0.06,-0.48,2.04,Groundout: SS unassisted/Forceout at 2B (Weak SS-2B)
59062,1,2012-10-03,Nate McLouth,BAL,@TBR,Jeremy Hellickson,tied 0-0,Out,t1,---,0,1 (0-0),0,-0.02,-0.22,.87,*LEADOFF GM*:Lineout: LF (Short LF)
59063,2,2012-10-03,J.J. Hardy,BAL,@TBR,Jeremy Hellickson,tied 0-0,Out,t1,---,1,3 (0-2),0,-0.02,-0.15,.61,Groundout: SS-1B (Weak SS)
59064,3,2012-10-03,Chris Davis,BAL,@TBR,Jeremy Hellickson,tied 0-0,Out,t1,---,2,3 (1-1),0,-0.01,-0.10,.39,Popfly: SS (Short CF)
59065,4,2012-10-03,Melvin Upton,TBR,BAL,Chris Tillman,tied 0-0,Out,b1,---,0,2 (1-0),0,-0.02,-0.22,.87,Flyball: LF
59066,5,2012-10-03,Ben Zobrist,TBR,BAL,Chris Tillman,tied 0-0,Out,b1,---,1,6 (3-2),0,-0.01,-0.15,.61,Groundout: 2B-1B
59067,6,2012-10-03,Evan Longoria,TBR,BAL,Chris Tillman,tied 0-0,HR,b1,---,2,1 (0-0),1,0.11,1.00,.40,Home Run (Line Drive to Deep LF)
59068,7,2012-10-03,Matthew Joyce,TBR,BAL,Chris Tillman,ahead 0-1,SO,b1,---,2,5 (2-2),0,-0.01,-0.10,.35,Strikeout Looking
59069,8,2012-10-03,Adam Jones,BAL,@TBR,Jeremy Hellickson,down 1-0,Out,t2,---,0,1 (0-0),0,-0.02,-0.22,.97,Popfly: SS (Weak SS)
59070,9,2012-10-03,Matt Wieters,BAL,@TBR,Jeremy Hellickson,down 1-0,SO,t2,---,1,7 (2-2),0,-0.02,-0.15,.67,Strikeout Swinging
59071,10,2012-10-03,Jim Thome,BAL,@TBR,Jeremy Hellickson,down 1-0,SO,t2,---,2,4 (1-2),0,-0.01,-0.10,.41,Strikeout Looking
59072,11,2012-10-03,Ryan Roberts,TBR,BAL,Chris Tillman,ahead 0-1,SO,b2,---,0,5 (2-2),0,-0.02,-0.22,.76,Strikeout Swinging
59073,12,2012-10-03,Carlos Pena,TBR,BAL,Chris Tillman,ahead 0-1,SO,b2,---,1,6 (3-2),0,-0.01,-0.15,.55,Strikeout Swinging
59074,13,2012-10-03,Sam Fuld,TBR,BAL,Chris Tillman,ahead 0-1,Out,b2,---,2,6 (2-2),0,-0.01,-0.10,.36,Flyball: RF (Deep RF)
59075,14,2012-10-03,Mark Reynolds,BAL,@TBR,Jeremy Hellickson,down 1-0,Out,t3,---,0,3 (1-1),0,-0.03,-0.22,1.04,Foul Popfly: 3B (3B Foul)
59076,15,2012-10-03,Ryan Flaherty,BAL,@TBR,Jeremy Hellickson,down 1-0,Out,t3,---,1,6 (3-2),0,-0.02,-0.15,.72,Groundout: 2B-1B
59077,16,2012-10-03,Manny Machado,BAL,@TBR,Jeremy Hellickson,down 1-0,Out,t3,---,2,4 (1-2),0,-0.01,-0.10,.45,Groundout: 3B-1B (Weak 3B)
59078,17,2012-10-03,Stephen Vogt,TBR,BAL,Chris Tillman,ahead 0-1,Out,b3,---,0,6 (1-2),0,-0.02,-0.22,.79,Lineout: RF
59079,18,2012-10-03,Chris Gimenez,TBR,BAL,Chris Tillman,ahead 0-1,1B,b3,---,1,3 (1-1),0,0.02,0.25,.57,Single to RF (Line Drive to RF Line)
59080,19,2012-10-03,Melvin Upton,TBR,BAL,Chris Tillman,ahead 0-1,Out,b3,1--,1,3 (1-1),0,-0.03,-0.28,1.06,Flyball: RF (Short RF)
59081,20,2012-10-03,Ben Zobrist,TBR,BAL,Chris Tillman,ahead 0-1,Out,b3,1--,2,6 (3-2),0,-0.02,-0.22,.74,Flyball: CF (Deep LF-CF)
59082,1,2012-10-03,Denard Span,MIN,@TOR,Brandon Morrow,tied 0-0,SO,t1,---,0,3 (0-2),0,-0.02,-0.24,.87,*LEADOFF GM*:Strikeout Looking
59083,2,2012-10-03,Ben Revere,MIN,@TOR,Brandon Morrow,tied 0-0,1B,t1,---,1,2 (0-1),0,0.02,0.26,.62,Single to CF (Ground Ball thru SS-2B)
59084,3,2012-10-03,Joe Mauer,MIN,@TOR,Brandon Morrow,tied 0-0,Out,t1,1--,1,5 (2-2),0,-0.03,-0.30,1.15,Groundout: 2B-SS/Forceout at 2B
59085,4,2012-10-03,Chris Parmelee,MIN,@TOR,Brandon Morrow,tied 0-0,SO,t1,1--,2,6 (2-2),0,-0.02,-0.23,.79,Strikeout Looking
59086,5,2012-10-03,Rajai Davis,TOR,MIN,Scott Diamond,tied 0-0,Out,b1,---,0,3 (0-2),0,-0.02,-0.24,.87,Groundout: P-1B
59087,6,2012-10-03,Adeiny Hechavarria,TOR,MIN,Scott Diamond,tied 0-0,Out,b1,---,1,1 (0-0),0,-0.02,-0.16,.62,Flyball: RF (Short RF Line)
59088,7,2012-10-03,Brett Lawrie,TOR,MIN,Scott Diamond,tied 0-0,SO,b1,---,2,5 (2-2),0,-0.01,-0.11,.40,Strikeout Swinging
59089,8,2012-10-03,Trevor Plouffe,MIN,@TOR,Brandon Morrow,tied 0-0,SO,t2,---,0,4 (0-2),0,-0.02,-0.24,.93,Strikeout Swinging
59090,9,2012-10-03,Matt Carson,MIN,@TOR,Brandon Morrow,tied 0-0,SO,t2,---,1,3 (0-2),0,-0.02,-0.16,.65,Strikeout Swinging
59091,10,2012-10-03,Eduardo Escobar,MIN,@TOR,Brandon Morrow,tied 0-0,SO,t2,---,2,4 (1-2),0,-0.01,-0.11,.42,Strikeout Swinging
59092,11,2012-10-03,Adam Lind,TOR,MIN,Scott Diamond,tied 0-0,BB,b2,---,0,7 (3-2),0,0.04,0.39,.92,Walk
59093,12,2012-10-03,Yan Gomes,TOR,MIN,Scott Diamond,tied 0-0,Out,b2,1--,0,5 (2-2),0,-0.08,-0.79,1.50,Ground Ball Double Play: P-2B-1B
59094,13,2012-10-03,J.P. Arencibia,TOR,MIN,Scott Diamond,tied 0-0,SO,b2,---,2,5 (2-2),0,-0.01,-0.11,.43,Strikeout Swinging
59095,14,2012-10-03,Drew Butera,MIN,@TOR,Brandon Morrow,tied 0-0,Out,t3,---,0,7 (2-2),0,-0.03,-0.24,.99,Popfly: SS (Deep SS-2B)
59096,15,2012-10-03,Pedro Florimon,MIN,@TOR,Brandon Morrow,tied 0-0,Out,t3,---,1,2 (0-1),0,-0.02,-0.16,.72,Groundout: 2B-1B (2B-1B)
59097,16,2012-10-03,Denard Span,MIN,@TOR,Brandon Morrow,tied 0-0,Out,t3,---,2,5 (2-2),0,-0.01,-0.11,.46,Flyball: RF (Short RF)
59098,17,2012-10-03,Omar Vizquel,TOR,MIN,Scott Diamond,tied 0-0,SO,b3,---,0,4 (0-2),0,-0.03,-0.24,.99,Strikeout Swinging
59099,18,2012-10-03,Moises Sierra,TOR,MIN,Scott Diamond,tied 0-0,Out,b3,---,1,5 (2-2),0,-0.02,-0.16,.72,Lineout: SS (Weak 3B)
59100,19,2012-10-03,Anthony Gose,TOR,MIN,Scott Diamond,tied 0-0,3B,b3,---,2,2 (0-1),0,0.03,0.26,.47,Triple to RF (Fly Ball to Deep CF-RF)
59101,20,2012-10-03,Rajai Davis,TOR,MIN,Scott Diamond,tied 0-0,1B,b3,--3,2,3 (1-1),1,0.10,0.87,1.53,Single to LF (Ground Ball thru Weak 3B); Gose Scores
59102,21,2012-10-03,Adeiny Hechavarria,TOR,MIN,Scott Diamond,ahead 0-1,1B,b3,-2-,2,4 (1-2),1,0.09,0.91,1.10,Single to CF (Line Drive to Deep SS-2B); Davis Scores
59103,22,2012-10-03,Brett Lawrie,TOR,MIN,Scott Diamond,ahead 0-2,Out,b3,1--,2,4 (3-0),0,-0.02,-0.23,.58,Groundout: 3B-1B (Weak 3B)
59104,1,2012-10-03,Juan Pierre,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t1,---,0,2 (0-1),0,-0.02,-0.23,.87,*LEADOFF GM*:Groundout: 3B-1B (Weak 3B)
59105,2,2012-10-03,Kevin Frandsen,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t1,---,1,3 (1-1),0,-0.02,-0.15,.62,Groundout: 3B-1B
59106,3,2012-10-03,Chase Utley,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t1,---,2,1 (0-0),0,-0.01,-0.10,.40,Flyball: RF (Deep CF-RF)
59107,4,2012-10-03,Jayson Werth,WSN,PHI,Cliff Lee,tied 0-0,Out,b1,---,0,2 (0-1),0,-0.02,-0.23,.87,Popfly: C (Short 3B Line)
59108,5,2012-10-03,Mark DeRosa,WSN,PHI,Cliff Lee,tied 0-0,Out,b1,---,1,5 (2-2),0,-0.02,-0.15,.62,Flyball: LF (Deep LF)
59109,6,2012-10-03,Ryan Zimmerman,WSN,PHI,Cliff Lee,tied 0-0,Out,b1,---,2,4 (1-2),0,-0.01,-0.10,.40,Groundout: P-1B (Short 3B Line)
59110,7,2012-10-03,Carlos Ruiz,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t2,---,0,5 (2-2),0,-0.02,-0.23,.93,Groundout: 1B-P (2B-1B)
59111,8,2012-10-03,Domonic Brown,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t2,---,1,2 (0-1),0,-0.02,-0.15,.65,Popfly: SS (Deep SS-3B Hole)
59112,9,2012-10-03,Darin Ruf,PHI,@WSN,Edwin Jackson,tied 0-0,BB,t2,---,2,4 (3-0),0,0.01,0.12,.42,Walk
59113,10,2012-10-03,Nate Schierholtz,PHI,@WSN,Edwin Jackson,tied 0-0,2B,t2,1--,2,3 (1-1),0,0.04,0.37,.84,Ground-rule Double (Fly Ball to LF Line); Ruf to 3B
59114,11,2012-10-03,Michael Martinez,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t2,-23,2,3 (1-1),0,-0.06,-0.59,2.11,Groundout: SS-1B (Weak SS)
59115,12,2012-10-03,Mike Morse,WSN,PHI,Cliff Lee,tied 0-0,2B,b2,---,0,4 (1-2),0,0.06,0.62,.92,Double to LF (Ground Ball)
59116,13,2012-10-03,Tyler Moore,WSN,PHI,Cliff Lee,tied 0-0,SO,b2,-2-,0,4 (1-2),0,-0.04,-0.43,1.30,Strikeout Looking
59117,14,2012-10-03,Ian Desmond,WSN,PHI,Cliff Lee,tied 0-0,Out,b2,-2-,1,3 (0-2),0,-0.04,-0.35,1.30,Flyball: LF (LF-CF)
59118,15,2012-10-03,Danny Espinosa,WSN,PHI,Cliff Lee,tied 0-0,Out,b2,-2-,2,2 (0-1),0,-0.03,-0.31,1.23,Flyball: RF
59119,16,2012-10-03,Juan Pierre,PHI,@WSN,Edwin Jackson,tied 0-0,SO,t3,---,1,5 (2-2),0,-0.02,-0.15,.71,Strikeout Swinging
59120,17,2012-10-03,Kevin Frandsen,PHI,@WSN,Edwin Jackson,tied 0-0,1B,t3,---,2,2 (0-1),0,0.01,0.12,.46,Single to RF (Ground Ball thru 2B-1B)
59121,18,2012-10-03,Chase Utley,PHI,@WSN,Edwin Jackson,tied 0-0,Out,t3,1--,2,3 (2-0),0,-0.03,-0.22,.91,Groundout: 2B-1B
59122,19,2012-10-03,Jesus Flores,WSN,PHI,Cliff Lee,tied 0-0,Out,b3,---,0,4 (1-2),0,-0.02,-0.23,.99,Groundout: SS-1B (Weak SS)
59123,20,2012-10-03,Jayson Werth,WSN,PHI,Cliff Lee,tied 0-0,3B,b3,---,2,4 (2-1),0,0.03,0.25,.47,Triple to CF (Fly Ball to Deep CF)
59124,21,2012-10-03,Mark DeRosa,WSN,PHI,Cliff Lee,tied 0-0,Out,b3,--3,2,4 (2-1),0,-0.04,-0.35,1.56,Flyball: CF
